 WAVE HEIGHT COMPUTATIONS FOR FLOOD INSURANCE STUDIES (WHAFIS VERSION 4.0G, 08_2007)
 Executed on: Thu Feb 20 14:57:36 2020
 Input file:  C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Harpswell\3_whafis\whafis4\CM-135-1.dat                                          
 Output file: C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Harpswell\3_whafis\whafis4\CM-135-1.out                                          



                                                              header                                                                
                                                     THIS IS A 100-YEAR CASE


                                       THE FOLLOWING NON-DEFAULT WIND SPEEDS ARE BEING USED
                                            WINDIF  56.14  WINDOF  56.14  WINDVH  60.00

                                                             PART1 INPUT

          IE      0.000    -23.920      1.000      1.000      8.831      3.408      3.477     56.140      0.215      0.000
          OF      1.000    -23.705      0.000      8.831      0.000      0.000      0.000      0.000      0.215      0.000
          OF      2.000    -23.490      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF      3.000    -23.276      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF      4.000    -23.062      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF      5.000    -22.847      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF      6.000    -22.633      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF      7.000    -22.418      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF      8.000    -22.204      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF      9.000    -21.989      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF     10.000    -21.775      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF     11.000    -21.560      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF     12.000    -21.346      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF     13.000    -21.132      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF     14.000    -20.917      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF     15.000    -20.703      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF     16.000    -20.488      0.000      8.831      0.000      0.000      0.000      0.000      0.215      0.000
          OF     17.000    -20.273      0.000      8.831      0.000      0.000      0.000      0.000      0.214      0.000
          OF     18.000    -20.059      0.000      8.831      0.000      0.000      0.000      0.000      0.222      0.000
          OF     19.000    -19.828      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     20.000    -19.597      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     21.000    -19.366      0.000      8.831      0.000      0.000      0.000      0.000      0.230      0.000
          OF     22.000    -19.136      0.000      8.831      0.000      0.000      0.000      0.000      0.230      0.000
          OF     23.000    -18.905      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     24.000    -18.674      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     25.000    -18.443      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     26.000    -18.212      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     27.000    -17.981      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     28.000    -17.750      0.000      8.831      0.000      0.000      0.000      0.000      0.230      0.000
          OF     29.000    -17.520      0.000      8.831      0.000      0.000      0.000      0.000      0.230      0.000
          OF     30.000    -17.289      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     31.000    -17.058      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     32.000    -16.827      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     33.000    -16.596      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     34.000    -16.365      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     35.000    -16.134      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     36.000    -15.903      0.000      8.831      0.000      0.000      0.000      0.000      0.231      0.000
          OF     37.000    -15.672      0.000      8.831      0.000      0.000      0.000      0.000      0.230      0.000
          OF     38.000    -15.442      0.000      8.831      0.000      0.000      0.000      0.000      0.230      0.000
