 WAVE HEIGHT COMPUTATIONS FOR FLOOD INSURANCE STUDIES (WHAFIS VERSION 4.0G, 08_2007)
 Executed on: Thu Feb 20 14:57:35 2020
 Input file:  C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Harpswell\3_whafis\whafis4\CM-123-1.dat                                          
 Output file: C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Harpswell\3_whafis\whafis4\CM-123-1.out                                          



                                                              header                                                                
                                                     THIS IS A 100-YEAR CASE


                                       THE FOLLOWING NON-DEFAULT WIND SPEEDS ARE BEING USED
                                            WINDIF  56.14  WINDOF  56.14  WINDVH  60.00

                                                             PART1 INPUT

          IE      0.000    -18.610      1.000      1.000      9.023      5.627      5.021     56.140      0.034      0.000
          OF      1.000    -18.576      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF      2.000    -18.542      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF      3.000    -18.508      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF      4.000    -18.474      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF      5.000    -18.441      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF      6.000    -18.407      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF      7.000    -18.373      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF      8.000    -18.339      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF      9.000    -18.305      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     10.000    -18.271      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     11.000    -18.237      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     12.000    -18.203      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     13.000    -18.169      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     14.000    -18.135      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     15.000    -18.101      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     16.000    -18.068      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     17.000    -18.034      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     18.000    -18.000      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     19.000    -17.966      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     20.000    -17.932      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     21.000    -17.898      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     22.000    -17.864      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     23.000    -17.830      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     24.000    -17.796      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     25.000    -17.762      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     26.000    -17.728      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     27.000    -17.694      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     28.000    -17.661      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     29.000    -17.627      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     30.000    -17.593      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     31.000    -17.559      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     32.000    -17.525      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     33.000    -17.491      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     34.000    -17.457      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     35.000    -17.423      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     36.000    -17.389      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     37.000    -17.355      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     38.000    -17.321      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     39.000    -17.287      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     40.000    -17.254      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
          OF     41.000    -17.220      0.000      9.023      0.000      0.000      0.000      0.000      0.034      0.000
