%
%
% Run:1     Table:curve             SWAN version:41.20A
%
%       Xp            Yp            Hsig          TPsmoo        RTpeak        Tm_10         Dir           Dspr          Depth         Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [m]           [m]      
%
           0.            0.       1.18375        5.1272        5.1860        4.6606       360.000       31.5639        8.6300      0.000000 
           1.            0.       1.18368        5.1273        5.1860        4.6593       360.000       31.5267        8.6000     -0.000012 
           2.            0.       1.18373        5.1273        5.1860        4.6581       360.000       31.4969        8.5800     -0.000022 
           3.            0.       1.18376        5.1273        5.1860        4.6569       360.000       31.4636        8.5600     -0.000031 
           4.            0.       1.18372        5.1273        5.1860        4.6557       360.000       31.4298        8.5300     -0.000044 
           5.            0.       1.18374        5.1273        5.1860        4.6544       360.000       31.3957        8.5099     -0.000053 
           6.            0.       1.18370        5.1273        5.1860        4.6532       360.000       31.3617        8.4799     -0.000066 
           7.            0.       1.18376        5.1273        5.1860        4.6519       360.000       31.3323        8.4599     -0.000075 
           8.            0.       1.18381        5.1273        5.1860        4.6507       360.000       31.2997        8.4399     -0.000085 
           9.            0.       1.18378        5.1274        5.1860        4.6495       360.000       31.2665        8.4099     -0.000098 
          10.            0.       1.18385        5.1274        5.1860        4.6482       360.000       31.2376        8.3899     -0.000108 
          11.            0.       1.18390        5.1274        5.1860        4.6470       360.000       31.2062        8.3699     -0.000118 
          12.            0.       1.18388        5.1274        5.1860        4.6457       360.000       31.1748        8.3399     -0.000131 
          13.            0.       1.18398        5.1274        5.1860        4.6445       360.000       31.1498        8.3199     -0.000141 
          14.            0.       1.18424        5.1275        5.1860        4.6434       360.000       31.1492        8.2998     -0.000151 
          15.            0.       1.18508        5.1274        5.1860        4.6424       360.000       31.1858        8.3299     -0.000144 
          16.            0.       1.18594        5.1274        5.1860        4.6414       360.000       31.2340        8.3499     -0.000140 
          17.            0.       1.18693        5.1273        5.1860        4.6405       360.000       31.2920        8.3799     -0.000133 
          18.            0.       1.18794        5.1273        5.1860        4.6397       360.000       31.3515        8.4099     -0.000126 
          19.            0.       1.18889        5.1272        5.1860        4.6387       360.000       31.4031        8.4399     -0.000119 
          20.            0.       1.18976        5.1272        5.1860        4.6378       360.000       31.4514        8.4599     -0.000115 
          21.            0.       1.19073        5.1272        5.1860        4.6368       360.000       31.5040        8.4899     -0.000108 
          22.            0.       1.19170        5.1271        5.1860        4.6359       360.000       31.5559        8.5199     -0.000101 
          23.            0.       1.19262        5.1271        5.1860        4.6349       360.000       31.6001        8.5499     -0.000094 
          24.            0.       1.19346        5.1270        5.1860        4.6339       360.000       31.6418        8.5699     -0.000091 
          25.            0.       1.19440        5.1270        5.1860        4.6329       360.000       31.6884        8.5999     -0.000084 
          26.            0.       1.19517        5.1269        5.1860        4.6317       360.000       31.7098        8.6299     -0.000077 
          27.            0.       1.19539        5.1269        5.1860        4.6304       360.000       31.6897        8.6199     -0.000083 
          28.            0.       1.19516        5.1269        5.1860        4.6289       360.000       31.6353        8.5799     -0.000099 
          29.            0.       1.19476        5.1269        5.1860        4.6273       360.000       31.5633        8.5299     -0.000118 
          30.            0.       1.19435        5.1270        5.1860        4.6256       360.000       31.4910        8.4799     -0.000137 
